Date,Home Team,Away Team,Home homeruns,Away homeruns,Home hits,Away hits,Home obp,Away obp,Home slg,Away slg,Home leftonbase,Away leftonbase,Home strikeouts,Away strikeouts,Home whip,Away whip,Home strikepercentage,Away strikepercentage,Home SP ERA,Away SP ERA,Home Team Won
2025-03-18,CHC,LAD,,,,,,,,,,,,,,,,,,,False
2025-03-19,CHC,LAD,0.0,0.0,3.0,7.0,0.156,0.357,0.133,0.265,10.0,23.0,9.0,9.0,1.67,0.44,0.63,0.66,0.0,1.8,False
2025-03-27,NYY,MIL,,,,,,,,,,,,,,,,,,,True
2025-03-27,TOR,BAL,,,,,,,,,,,,,,,,,,,False
2025-03-27,TEX,BOS,,,,,,,,,,,,,,,,,,,False
2025-03-27,WSH,PHI,,,,,,,,,,,,,,,,,,,False
2025-03-27,KC,CLE,,,,,,,,,,,,,,,,,,,False
2025-03-27,HOU,NYM,,,,,,,,,,,,,,,,,,,True
2025-03-27,CIN,SF,,,,,,,,,,,,,,,,,,,False
2025-03-27,SD,ATL,,,,,,,,,,,,,,,,,,,True
2025-03-27,CWS,LAA,,,,,,,,,,,,,,,,,,,True
2025-03-27,MIA,PIT,,,,,,,,,,,,,,,,,,,True
2025-03-27,STL,MIN,,,,,,,,,,,,,,,,,,,True
2025-03-27,LAD,DET,,,,,,,,,,,,,,,,,,,True
2025-03-27,AZ,CHC,,,,,,,,,,,,,,,,,,,False
2025-03-27,SEA,ATH,,,,,,,,,,,,,,,,,,,True
2025-03-28,TEX,BOS,0.0,2.0,7.0,6.0,0.257,0.25,0.242,0.364,12.0,7.0,13.0,7.0,1.0,1.0,0.67,0.68,3.0,3.6,True
2025-03-28,TB,COL,,,,,,,,,,,,,,,,,,,True
2025-03-28,TOR,BAL,1.0,6.0,4.0,14.0,0.273,0.444,0.25,0.846,9.0,17.0,8.0,3.0,2.11,1.0,0.63,0.59,10.8,3.0,True
2025-03-28,MIA,PIT,0.0,1.0,7.0,4.0,0.395,0.325,0.333,0.258,18.0,20.0,11.0,11.0,1.22,1.75,0.57,0.64,3.86,3.38,False
2025-03-28,HOU,NYM,0.0,0.0,7.0,6.0,0.371,0.342,0.241,0.233,16.0,22.0,7.0,7.0,1.33,1.5,0.61,0.62,0.0,3.86,False
2025-03-28,SEA,ATH,2.0,2.0,5.0,3.0,0.382,0.133,0.44,0.31,10.0,3.0,10.0,7.0,0.44,1.5,0.7,0.58,1.29,0.0,False
2025-03-28,SD,ATL,1.0,2.0,10.0,7.0,0.343,0.317,0.484,0.371,10.0,18.0,10.0,9.0,1.44,1.5,0.61,0.67,10.12,5.4,True
2025-03-28,LAD,DET,3.0,1.0,7.0,9.0,0.33,0.357,0.463,0.412,4.0,29.0,9.0,6.0,1.26,1.0,0.64,0.68,3.6,7.2,True
2025-03-28,AZ,CHC,1.0,1.0,9.0,12.0,0.35,0.317,0.455,0.305,18.0,20.0,10.0,4.0,2.0,1.52,0.58,0.63,9.0,5.4,True
2025-03-29,KC,CLE,1.0,1.0,7.0,10.0,0.216,0.317,0.343,0.5,12.0,13.0,5.0,10.0,1.3,0.8,0.68,0.72,5.4,5.4,True
2025-03-29,NYY,MIL,2.0,1.0,7.0,7.0,0.324,0.289,0.483,0.333,15.0,18.0,13.0,10.0,1.22,1.38,0.65,0.6,1.69,3.6,True
2025-03-29,CWS,LAA,3.0,1.0,9.0,5.0,0.314,0.229,0.606,0.281,8.0,13.0,10.0,6.0,0.78,1.38,0.61,0.62,0.0,4.5,False
2025-03-29,STL,MIN,2.0,1.0,10.0,8.0,0.343,0.297,0.515,0.382,13.0,15.0,11.0,5.0,1.22,1.5,0.65,0.64,3.6,3.6,True
2025-03-29,TOR,BAL,0.5,3.5,9.0,8.5,0.3215,0.393,0.3185,0.71,15.0,13.5,8.5,6.0,1.775,1.2650000000000001,0.64,0.605,6.9,6.9,False
2025-03-29,WSH,PHI,1.0,2.0,5.0,8.0,0.243,0.326,0.273,0.486,16.0,16.0,19.0,13.0,1.4,0.8,0.64,0.65,0.0,1.5,False
2025-03-29,SD,ATL,1.5,1.5,10.0,6.0,0.343,0.3015,0.492,0.34950000000000003,11.5,14.5,11.5,6.0,1.33,1.5,0.625,0.66,8.175,5.4,True
2025-03-29,CIN,SF,0.0,2.0,8.0,6.0,0.342,0.229,0.273,0.364,10.0,7.0,17.0,8.0,0.89,1.33,0.68,0.61,3.6,5.4,True
2025-03-29,TEX,BOS,1.0,1.0,7.5,7.0,0.278,0.257,0.3065,0.3315,10.5,12.0,10.0,5.0,1.03,1.0899999999999999,0.655,0.655,2.4,4.975,True
2025-03-29,HOU,NYM,0.0,0.5,5.0,5.5,0.3305,0.324,0.2065,0.258,16.0,16.5,9.0,8.5,1.2200000000000002,1.31,0.615,0.63,1.5,2.83,True
2025-03-29,AZ,CHC,1.5,0.5,11.5,7.5,0.361,0.3035,0.5205,0.2885,18.0,18.5,7.5,5.5,1.6949999999999998,1.545,0.63,0.65,5.345,8.93,False
2025-03-29,TB,COL,1.0,0.0,7.0,7.0,0.25,0.297,0.367,0.313,10.0,16.0,12.0,9.0,1.11,1.0,0.66,0.71,1.5,0.0,False
2025-03-29,LAD,DET,3.0,1.5,7.5,9.5,0.325,0.353,0.47,0.439,6.0,23.0,12.5,8.0,1.29,1.02,0.645,0.675,3.6,5.19,True
2025-03-29,SEA,ATH,1.0,2.5,5.0,7.5,0.34550000000000003,0.215,0.363,0.394,11.5,8.0,7.5,10.0,0.8049999999999999,1.3399999999999999,0.645,0.61,2.4450000000000003,0.0,False
2025-03-29,MIA,PIT,0.5,1.0,7.0,5.5,0.371,0.3205,0.3385,0.27749999999999997,13.5,18.5,8.5,9.0,1.25,1.58,0.6,0.645,4.63,2.44,True
2025-03-30,WSH,PHI,2.0,2.5,8.5,11.0,0.278,0.363,0.35850000000000004,0.526,17.5,16.0,12.0,14.0,1.645,1.03,0.625,0.655,1.8,2.55,True
2025-03-30,NYY,MIL,5.5,1.0,11.5,10.0,0.3795,0.3075,0.669,0.355,13.5,20.5,11.0,7.5,1.33,1.785,0.635,0.5800000000000001,2.775,19.8,True
2025-03-30,TOR,BAL,0.6666666666666666,3.3333333333333335,8.666666666666666,9.666666666666666,0.3323333333333333,0.3786666666666667,0.3443333333333333,0.6753333333333332,16.666666666666668,11.666666666666666,8.666666666666666,8.666666666666666,1.6633333333333333,1.3433333333333335,0.6433333333333334,0.61,6.6000000000000005,7.413333333333334,True
2025-03-30,CIN,SF,1.0,1.5,8.0,7.0,0.326,0.2395,0.321,0.3745,10.0,8.5,9.0,8.5,0.89,1.2850000000000001,0.68,0.645,3.3,4.5,False
2025-03-30,TB,COL,0.5,0.0,9.5,6.5,0.2985,0.27,0.376,0.2875,15.0,12.0,10.5,6.0,1.0,1.2349999999999999,0.6950000000000001,0.645,1.5,0.0,True
2025-03-30,SD,ATL,1.0,1.0,8.0,5.666666666666667,0.332,0.297,0.46366666666666667,0.3303333333333333,10.0,14.0,9.333333333333334,6.333333333333333,1.2833333333333332,1.4166666666666667,0.6,0.6566666666666667,5.45,3.6,True
2025-03-30,MIA,PIT,0.3333333333333333,0.6666666666666666,9.0,6.666666666666667,0.36033333333333334,0.32233333333333336,0.34833333333333333,0.2763333333333333,17.666666666666668,22.0,9.0,9.0,1.2766666666666666,1.5233333333333334,0.61,0.6566666666666667,3.78,2.6266666666666665,True
2025-03-30,CWS,LAA,1.5,0.5,5.5,6.5,0.28600000000000003,0.2555,0.4865,0.2735,8.0,16.0,8.5,6.5,0.92,1.19,0.605,0.615,0.0,2.25,False
2025-03-30,STL,MIN,1.0,0.5,10.0,5.5,0.365,0.253,0.48050000000000004,0.324,20.0,11.0,7.0,7.5,1.0,1.595,0.655,0.645,2.55,2.7,True
2025-03-30,TEX,BOS,1.0,1.0,7.666666666666667,7.0,0.2886666666666667,0.26666666666666666,0.33466666666666667,0.32666666666666666,12.0,16.333333333333332,10.333333333333334,5.0,1.0833333333333333,1.1133333333333333,0.6433333333333334,0.6466666666666666,3.1,6.086666666666666,True
2025-03-30,AZ,CHC,1.3333333333333333,1.0,10.666666666666666,7.666666666666667,0.35833333333333334,0.296,0.5216666666666666,0.295,18.333333333333332,16.0,8.0,6.0,1.55,1.5366666666666668,0.6533333333333333,0.6633333333333333,5.0633333333333335,6.383333333333334,True
2025-03-30,SEA,ATH,0.6666666666666666,2.0,5.0,8.0,0.3373333333333333,0.24166666666666667,0.3273333333333333,0.40499999999999997,15.666666666666666,10.333333333333334,7.333333333333333,10.666666666666666,0.9333333333333332,1.29,0.6566666666666666,0.6033333333333334,3.216666666666667,0.6,True
2025-03-30,KC,CLE,1.0,1.0,8.5,7.5,0.247,0.307,0.36250000000000004,0.46099999999999997,14.0,12.5,5.0,7.0,1.23,0.9550000000000001,0.635,0.715,5.4,4.5,False
2025-03-31,MIA,NYM,0.5,0.3333333333333333,8.5,4.0,0.353,0.3026666666666667,0.35325,0.244,16.25,14.333333333333334,9.0,7.666666666666667,1.2775,1.2466666666666668,0.6025,0.6233333333333334,3.2325,2.9466666666666668,False
2025-03-31,CWS,MIN,1.3333333333333333,0.6666666666666666,6.0,5.333333333333333,0.2773333333333334,0.238,0.44766666666666666,0.3096666666666667,9.666666666666666,11.0,7.666666666666667,6.333333333333333,0.9466666666666667,1.6466666666666665,0.6166666666666667,0.6133333333333334,0.0,2.3633333333333333,True
2025-03-31,MIL,KC,,,,,,,,,,,,,,,,,,,False
2025-03-31,BAL,BOS,,0.75,,6.5,,0.27125,,0.31975,,16.5,,5.0,,1.1,,0.6725,,5.6899999999999995,True
2025-03-31,PHI,COL,,0.3333333333333333,,7.333333333333333,,0.26499999999999996,,0.2916666666666667,,13.0,,6.333333333333333,,1.3166666666666667,,0.63,,1.2,True
2025-03-31,CIN,TEX,1.3333333333333333,,7.0,,0.3113333333333333,,0.33666666666666667,,9.0,,8.333333333333334,,0.9033333333333333,,0.6666666666666666,,4.2,,True
2025-03-31,TB,PIT,0.6666666666666666,0.75,9.333333333333334,6.25,0.3153333333333333,0.321,0.3833333333333333,0.277,15.0,19.75,10.333333333333334,8.0,0.9766666666666667,1.48,0.6866666666666666,0.65,2.0,2.42,True
2025-03-31,TOR,WSH,0.75,,8.25,,0.3325,,0.356,,16.0,,9.25,,1.595,,0.6475,,5.325,,True
2025-03-31,HOU,SF,0.3333333333333333,1.6666666666666667,5.0,7.0,0.317,0.243,0.21233333333333335,0.38566666666666666,15.333333333333334,8.0,9.0,7.333333333333333,1.1233333333333333,1.2166666666666668,0.6066666666666666,0.6366666666666667,1.5,4.6866666666666665,False
2025-03-31,SD,CLE,0.75,1.6666666666666667,8.25,8.666666666666666,0.333,0.31666666666666665,0.45225,0.46900000000000003,12.0,15.666666666666666,9.0,6.666666666666667,1.1975,0.9933333333333335,0.615,0.6699999999999999,4.0875,3.0,True
2025-03-31,SEA,DET,0.75,1.0,5.0,8.333333333333334,0.32575,0.3446666666666667,0.31125,0.426,13.0,20.333333333333332,7.5,8.333333333333334,0.97,1.05,0.6575,0.6666666666666666,2.7875,6.03,False
2025-03-31,ATH,CHC,,1.5,,8.0,,0.2945,,0.30825,,15.25,,6.0,,1.585,,0.6475,,4.7875000000000005,False
2025-03-31,LAD,ATL,3.0,0.75,7.333333333333333,4.5,0.3216666666666667,0.28425,0.48100000000000004,0.30725,6.333333333333333,11.5,12.666666666666666,7.0,1.2866666666666668,1.415,0.6366666666666667,0.635,3.9,3.825,True
2025-03-31,STL,LAA,1.6666666666666667,0.6666666666666666,10.0,6.333333333333333,0.373,0.2623333333333333,0.4936666666666667,0.278,16.666666666666668,14.666666666666666,6.333333333333333,6.333333333333333,0.9266666666666667,1.1266666666666667,0.6566666666666667,0.6333333333333333,2.9,2.5,False
