Date,Home Team,Away Team,Home homeruns,Away homeruns,Home hits,Away hits,Home obp,Away obp,Home slg,Away slg,Home leftonbase,Away leftonbase,Home strikeouts,Away strikeouts,Home whip,Away whip,Home strikepercentage,Away strikepercentage,Home SP,Home SP ERA,Away SP,Away SP ERA,Home Team Won
"March 18, 2025",CHC,LAD,0.0,0.0,3.0,7.0,0.156,0.357,0.133,0.265,10.0,23.0,9.0,9.0,1.67,0.44,0.63,0.66,Shota Imanaga,0.0,Yoshinobu Yamamoto,1.8,False
"March 19, 2025",CHC,LAD,0.0,3.0,8.0,7.0,0.274,0.363,0.219,0.438,17.0,10.0,9.0,12.0,1.61,1.06,0.57,0.59,Justin Steele,11.25,Roki Sasaki,3.0,False
"March 27, 2025",NYY,MIL,2.0,1.0,7.0,7.0,0.324,0.289,0.483,0.333,15.0,18.0,13.0,10.0,1.22,1.38,0.65,0.6,Carlos Rodón,1.69,Freddy Peralta,3.6,True
"March 27, 2025",TOR,BAL,1.0,6.0,4.0,14.0,0.273,0.444,0.25,0.846,9.0,17.0,8.0,3.0,2.11,1.0,0.63,0.59,José Berríos,10.8,Zach Eflin,3.0,False
"March 27, 2025",TEX,BOS,0.0,2.0,7.0,6.0,0.257,0.25,0.242,0.364,12.0,7.0,13.0,7.0,1.0,1.0,0.67,0.68,Nathan Eovaldi,3.0,Garrett Crochet,3.6,False
"March 27, 2025",WSH,PHI,1.0,2.0,5.0,8.0,0.243,0.326,0.273,0.486,16.0,16.0,19.0,13.0,1.4,0.8,0.64,0.65,MacKenzie Gore,0.0,Zack Wheeler,1.5,False
"March 27, 2025",KC,CLE,1.0,1.0,7.0,10.0,0.216,0.317,0.343,0.5,12.0,13.0,5.0,10.0,1.3,0.8,0.68,0.72,Cole Ragans,5.4,Ben Lively,5.4,False
"March 27, 2025",HOU,NYM,0.0,0.0,7.0,6.0,0.371,0.342,0.241,0.233,16.0,22.0,7.0,7.0,1.33,1.5,0.61,0.62,Framber Valdez,0.0,Clay Holmes,3.86,True
"March 27, 2025",CIN,SF,0.0,2.0,8.0,6.0,0.342,0.229,0.273,0.364,10.0,7.0,17.0,8.0,0.89,1.33,0.68,0.61,Hunter Greene,3.6,Logan Webb,5.4,False
"March 27, 2025",SD,ATL,1.0,2.0,10.0,7.0,0.343,0.317,0.484,0.371,10.0,18.0,10.0,9.0,1.44,1.5,0.61,0.67,Michael King,10.12,Chris Sale,5.4,True
"March 27, 2025",CWS,LAA,3.0,1.0,9.0,5.0,0.314,0.229,0.606,0.281,8.0,13.0,10.0,6.0,0.78,1.38,0.61,0.62,Sean Burke,0.0,Yusei Kikuchi,4.5,True
"March 27, 2025",MIA,PIT,0.0,1.0,7.0,4.0,0.395,0.325,0.333,0.258,18.0,20.0,11.0,11.0,1.22,1.75,0.57,0.64,Sandy Alcantara,3.86,Paul Skenes,3.38,True
"March 27, 2025",STL,MIN,2.0,1.0,10.0,8.0,0.343,0.297,0.515,0.382,13.0,15.0,11.0,5.0,1.22,1.5,0.65,0.64,Sonny Gray,3.6,Pablo López,3.6,True
"March 27, 2025",LAD,DET,3.0,1.0,7.0,9.0,0.33,0.357,0.463,0.412,4.0,29.0,9.0,6.0,1.26,1.0,0.64,0.68,Blake Snell,3.6,Tarik Skubal,7.2,True
"March 27, 2025",AZ,CHC,1.0,1.0,9.0,12.0,0.35,0.317,0.455,0.305,18.0,20.0,10.0,4.0,2.0,1.52,0.58,0.63,Zac Gallen,9.0,Justin Steele,5.4,False
"March 27, 2025",SEA,ATH,2.0,2.0,5.0,3.0,0.382,0.133,0.44,0.31,10.0,3.0,10.0,7.0,0.44,1.5,0.7,0.58,Logan Gilbert,1.29,Luis Severino,0.0,True
"March 28, 2025",TB,COL,1.0,0.0,7.0,7.0,0.25,0.297,0.367,0.313,10.0,16.0,12.0,9.0,1.11,1.0,0.66,0.71,Ryan Pepiot,1.5,Kyle Freeland,0.0,True
"March 28, 2025",TOR,BAL,0.0,1.0,14.0,3.0,0.37,0.342,0.387,0.574,21.0,10.0,9.0,9.0,1.44,1.53,0.65,0.62,Kevin Gausman,3.0,Charlie Morton,10.8,True
"March 28, 2025",MIA,PIT,1.0,1.0,7.0,7.0,0.347,0.316,0.344,0.297,9.0,17.0,6.0,7.0,1.28,1.41,0.63,0.65,Connor Gillispie,5.4,Mitch Keller,1.5,False
"March 28, 2025",TEX,BOS,2.0,0.0,8.0,8.0,0.299,0.264,0.371,0.299,9.0,17.0,7.0,3.0,1.06,1.18,0.64,0.63,Jack Leiter,1.8,Tanner Houck,6.35,True
"March 28, 2025",HOU,NYM,0.0,1.0,3.0,5.0,0.29,0.306,0.172,0.283,16.0,11.0,11.0,10.0,1.11,1.12,0.62,0.64,Hunter Brown,3.0,Tylor Megill,1.8,False
"March 28, 2025",AZ,CHC,2.0,0.0,14.0,3.0,0.372,0.29,0.586,0.272,18.0,17.0,5.0,7.0,1.39,1.57,0.68,0.67,Merrill Kelly,1.69,Jameson Taillon,12.46,True
"March 28, 2025",SEA,ATH,0.0,3.0,5.0,12.0,0.309,0.297,0.286,0.478,13.0,13.0,5.0,13.0,1.17,1.18,0.59,0.64,Luis Castillo,3.6,Jeffrey Springs,0.0,False
"March 28, 2025",SD,ATL,2.0,1.0,10.0,5.0,0.343,0.286,0.5,0.328,13.0,11.0,13.0,3.0,1.22,1.5,0.64,0.65,Dylan Cease,6.23,Reynaldo López,5.4,True
"March 28, 2025",LAD,DET,3.0,2.0,8.0,10.0,0.32,0.349,0.477,0.466,8.0,17.0,16.0,10.0,1.32,1.04,0.65,0.67,Yoshinobu Yamamoto,3.6,Jack Flaherty,3.18,True
"March 29, 2025",NYY,MIL,9.0,1.0,16.0,13.0,0.435,0.326,0.855,0.377,12.0,23.0,9.0,5.0,1.44,2.19,0.62,0.56,Max Fried,3.86,Nestor Cortes,36.0,True
"March 29, 2025",CWS,LAA,0.0,0.0,2.0,8.0,0.258,0.282,0.367,0.266,8.0,19.0,7.0,7.0,1.06,1.0,0.6,0.61,Jonathan Cannon,0.0,José Soriano,0.0,False
"March 29, 2025",STL,MIN,0.0,0.0,10.0,3.0,0.387,0.209,0.446,0.266,27.0,7.0,3.0,10.0,0.78,1.69,0.66,0.65,Erick Fedde,1.5,Joe Ryan,1.8,True
"March 29, 2025",TOR,BAL,1.0,3.0,8.0,12.0,0.354,0.35,0.396,0.606,20.0,8.0,9.0,14.0,1.44,1.5,0.65,0.62,Max Scherzer,6.0,Dean Kremer,8.44,False
"March 29, 2025",WSH,PHI,3.0,3.0,12.0,14.0,0.313,0.4,0.444,0.566,19.0,16.0,5.0,15.0,1.89,1.26,0.61,0.66,Jake Irvin,3.6,Jesús Luzardo,3.6,False
"March 29, 2025",KC,CLE,1.0,1.0,10.0,5.0,0.278,0.297,0.382,0.422,16.0,12.0,5.0,4.0,1.16,1.11,0.59,0.71,Seth Lugo,5.4,Gavin Williams,3.6,True
"March 29, 2025",CIN,SF,2.0,1.0,8.0,8.0,0.31,0.25,0.369,0.385,10.0,10.0,1.0,9.0,0.89,1.24,0.68,0.68,Nick Lodolo,3.0,Justin Verlander,3.6,True
"March 29, 2025",TB,COL,0.0,0.0,12.0,6.0,0.347,0.243,0.385,0.262,20.0,8.0,9.0,3.0,0.89,1.47,0.73,0.58,Zack Littell,1.5,Antonio Senzatela,0.0,False
"March 29, 2025",MIA,PIT,0.0,0.0,13.0,9.0,0.339,0.326,0.368,0.274,26.0,29.0,10.0,9.0,1.33,1.41,0.63,0.68,Valente Bellozo,2.08,Bailey Falter,3.0,True
"March 29, 2025",TEX,BOS,1.0,1.0,8.0,7.0,0.31,0.286,0.391,0.317,15.0,25.0,11.0,5.0,1.19,1.16,0.62,0.63,Jacob Webb,4.5,Walker Buehler,8.31,True
